p_rainfall,p_cloud cover,p_evapotranspiration,p_min_temp,p_vapour_pressure,p_max_temp,p_wdf,cloud cover,evapotranspiration,min_temp,vapour_pressure,max_temp,wdf,rainfall,p_pond,pond
16,22,4,6,8,21,1,18,5,9,8,24,1,7,80,70
7,18,5,9,8,24,1,28,6,16,8,31,1,3,70,55
3,28,6,16,8,31,1,24,8,21,8,36,0,0,55,50
0,24,8,21,8,36,0,27,8,26,13,41,1,7,50,50
7,27,8,26,13,41,1,46,8,30,26,42,2,19,50,55
19,46,8,30,26,42,2,64,6,28,32,37,9,149,55,60
149,64,6,28,32,37,9,63,5,25,29,32,11,213,60,87
213,63,5,25,29,32,11,43,6,24,26,34,1,8,87,97
8,43,6,24,26,34,1,18,6,21,15,35,1,3,97,95
3,18,6,21,15,35,1,11,6,14,9,29,0,0,95,93
0,11,6,14,9,29,0,16,5,9,9,25,1,7,93,85
7,16,5,9,9,25,1,22,4,9,9,24,0,0,85,75
0,22,4,9,9,24,0,18,5,11,9,26,0,0,75,68
0,18,5,11,9,26,0,29,6,18,9,34,0,0,68,54
0,29,6,18,9,34,0,24,8,22,9,38,0,0,54,47
0,24,8,22,9,38,0,27,8,26,13,41,0,1,47,42
1,27,8,26,13,41,0,46,8,28,23,40,4,60,42,41
60,46,8,28,23,40,4,64,6,26,29,35,11,271,41,50
271,64,6,26,29,35,11,63,5,26,30,34,8,142,50,83
142,63,5,26,30,34,8,42,6,23,25,33,4,88,83,92
88,42,6,23,25,33,4,18,6,19,14,34,0,1,92,95
1,18,6,19,14,34,0,11,5,13,9,28,0,1,95,90
1,11,5,13,9,28,0,16,4,8,9,23,0,0,90,83
0,16,4,8,9,23,0,22,4,8,8,23,1,2,83,74
2,22,4,8,8,23,1,18,5,9,8,24,1,1,74,66
1,18,5,9,8,24,1,29,6,14,8,30,1,2,66,57
2,29,6,14,8,30,1,24,8,20,8,35,0,0,57,50
0,24,8,20,8,35,0,27,8,25,13,40,1,5,50,45
5,27,8,25,13,40,1,46,8,30,26,42,1,2,45,42
2,46,8,30,26,42,1,64,6,28,32,37,9,203,42,42
203,64,6,28,32,37,9,63,5,25,28,32,10,254,42,85
254,63,5,25,28,32,10,43,6,24,26,34,4,76,85,94
76,43,6,24,26,34,4,18,6,19,14,33,1,10,94,92
10,18,6,19,14,33,1,11,5,12,9,28,0,0,92,84
0,11,5,12,9,28,0,16,4,7,8,23,0,0,84,78
0,16,4,7,8,23,0,22,4,7,8,22,1,3,78,76
3,22,4,7,8,22,1,18,5,10,8,25,1,1,76,70
1,18,5,10,8,25,1,29,6,15,8,31,1,13,70,57
13,29,6,15,8,31,1,24,8,22,9,38,0,0,57,48
0,24,8,22,9,38,0,27,8,25,13,40,1,11,48,41
11,27,8,25,13,40,1,46,8,28,24,40,3,63,41,40
63,46,8,28,24,40,3,64,6,25,27,33,11,307,40,57
307,64,6,25,27,33,11,63,5,24,28,31,10,292,57,84
292,63,5,24,28,31,10,43,6,23,25,33,3,54,84,95
54,43,6,23,25,33,3,18,6,19,14,33,1,3,95,90
3,18,6,19,14,33,1,11,5,12,9,28,1,15,90,83
15,11,5,12,9,28,1,16,4,8,9,24,2,8,83,76
8,16,4,8,9,24,2,22,4,6,7,21,1,13,76,71
13,22,4,6,7,21,1,18,5,5,6,20,1,15,71,65
15,18,5,5,6,20,1,29,6,12,6,28,1,4,65,52
4,29,6,12,6,28,1,24,7,19,7,34,1,3,52,46
3,24,7,19,7,34,1,27,8,27,14,42,0,1,46,41
1,27,8,27,14,42,0,46,8,30,25,42,2,21,41,38
21,46,8,30,25,42,2,64,6,27,30,36,8,127,38,52
127,64,6,27,30,36,8,63,5,26,30,33,5,11,52,79
11,63,5,26,30,33,5,42,6,25,28,35,4,67,79,75
67,42,6,25,28,35,4,18,6,20,14,34,0,0,75,83
0,18,6,20,14,34,0,11,6,15,10,30,0,0,83,76
0,11,6,15,10,30,0,16,5,9,9,24,0,0,76,73
0,16,5,9,9,24,0,22,4,7,8,21,0,0,73,63
0,22,4,7,8,21,0,18,5,8,7,23,1,18,63,56
18,18,5,8,7,23,1,28,6,13,7,29,1,7,56,51
7,28,6,13,7,29,1,24,7,21,8,36,0,0,51,42
0,24,7,21,8,36,0,27,8,28,15,43,0,1,42,39
1,27,8,28,15,43,0,46,8,28,23,39,5,110,39,35
110,46,8,28,23,39,5,64,6,26,29,35,9,167,35,54
167,64,6,26,29,35,9,63,5,25,30,33,7,100,54,69
100,63,5,25,30,33,7,43,6,23,24,33,6,173,69,75
173,43,6,23,24,33,6,18,6,20,14,34,0,0,75,83
0,18,6,20,14,34,0,11,6,14,9,30,0,0,83,78
0,11,6,14,9,30,0,16,4,9,9,24,1,13,78,72
13,16,4,9,9,24,1,22,4,9,9,24,1,6,72,71
6,22,4,9,9,24,1,18,5,8,8,23,2,42,71,67
42,18,5,8,8,23,2,29,6,13,7,29,1,2,67,76
2,29,6,13,7,29,1,24,7,19,8,35,2,24,76,62
24,24,7,19,8,35,2,27,8,24,12,39,1,10,62,57
10,27,8,24,12,39,1,46,8,29,24,41,2,12,57,51
12,46,8,29,24,41,2,64,6,29,33,37,7,84,51,48
84,64,6,29,33,37,7,63,5,24,28,32,13,386,48,67
386,63,5,24,28,32,13,43,6,24,27,34,0,1,67,88
1,43,6,24,27,34,0,19,6,20,14,34,0,0,88,75
0,19,6,20,14,34,0,12,6,13,9,29,0,0,75,69
0,12,6,13,9,29,0,16,4,7,8,22,0,0,69,65
0,16,4,7,8,22,0,22,4,7,8,22,1,22,65,62
22,22,4,7,8,22,1,18,5,10,8,25,0,0,62,66
0,18,5,10,8,25,0,29,6,15,8,31,0,0,66,58
0,29,6,15,8,31,0,24,8,22,9,37,1,1,58,51
1,24,8,22,9,37,1,27,8,26,13,40,1,9,51,45
9,27,8,26,13,40,1,46,8,29,25,41,2,26,45,42
26,46,8,29,25,41,2,64,6,25,28,33,15,538,42,51
538,64,6,25,28,33,15,63,5,24,28,31,13,413,51,91
413,63,5,24,28,31,13,43,6,23,25,33,4,118,91,98
118,43,6,23,25,33,4,18,6,19,14,33,1,3,98,99
3,18,6,19,14,33,1,11,5,12,9,28,0,1,99,96
1,11,5,12,9,28,0,16,4,7,9,23,0,0,96,92
0,16,4,7,9,23,0,22,4,7,8,22,1,20,92,89
20,22,4,7,8,22,1,18,5,9,8,24,1,3,89,88
3,18,5,9,8,24,1,29,6,15,8,31,0,0,88,83
0,29,6,15,8,31,0,24,8,19,8,35,2,17,83,74
17,24,8,19,8,35,2,27,8,25,13,39,1,21,74,69
21,27,8,25,13,39,1,46,8,27,22,39,4,58,69,65
58,46,8,27,22,39,4,64,6,24,27,33,13,401,65,69
401,64,6,24,27,33,13,63,5,24,28,32,7,126,69,91
126,63,5,24,28,32,7,42,6,23,25,33,5,145,91,95
145,42,6,23,25,33,5,18,6,19,14,34,0,0,95,98
0,18,6,19,14,34,0,11,6,14,9,30,0,0,98,96
0,11,6,14,9,30,0,16,4,7,8,23,2,13,96,91
13,16,4,7,8,23,2,22,4,7,8,21,1,8,91,87
8,22,4,7,8,21,1,18,5,10,8,25,1,2,87,82
2,18,5,10,8,25,1,29,6,15,8,31,0,0,82,75
0,29,6,15,8,31,0,24,8,20,8,36,1,5,75,67
5,24,8,20,8,36,1,27,8,26,13,41,0,0,67,54
0,27,8,26,13,41,0,46,8,27,23,39,4,57,54,52
57,46,8,27,23,39,4,64,6,26,29,34,9,164,52,55
164,64,6,26,29,34,9,63,5,25,28,32,10,217,55,60
217,63,5,25,28,32,10,43,6,24,25,33,4,94,60,68
94,43,6,24,25,33,4,18,6,18,13,32,1,11,68,72
11,18,6,18,13,32,1,11,5,12,9,28,0,0,72,69
0,11,5,12,9,28,0,16,4,8,9,23,0,0,69,65
0,16,4,8,9,23,0,22,4,9,9,24,1,16,65,59
16,22,4,9,9,24,1,18,5,10,8,25,0,15,59,56
15,18,5,10,8,25,0,29,6,13,7,29,1,0,56,50
0,29,6,13,7,29,1,24,8,21,9,37,0,0,50,43
0,24,8,21,9,37,0,27,8,27,14,42,0,10,43,38
10,27,8,27,14,42,0,46,8,28,23,40,2,0,38,34
0,46,8,28,23,40,2,64,6,28,32,36,4,2,34,31
2,64,6,28,32,36,4,63,5,26,31,34,7,10,31,29
10,63,5,26,31,34,7,43,6,23,25,33,6,21,29,28
21,43,6,23,25,33,6,18,6,19,14,34,0,6,28,27
6,18,6,19,14,34,0,11,5,11,8,27,1,17,27,25
17,11,5,11,8,27,1,16,4,8,9,23,1,8,25,26
8,16,4,8,9,23,1,22,4,8,9,23,1,0,26,24
0,22,4,8,9,23,1,18,5,11,9,26,1,2,24,22
2,18,5,11,9,26,1,28,6,14,8,30,1,27,22,21
27,28,6,14,8,30,1,24,8,21,9,37,1,4,21,18
4,24,8,21,9,37,1,27,8,27,13,41,0,16,18,15
16,27,8,27,13,41,0,46,8,30,26,42,2,9,15,14
9,46,8,30,26,42,2,63,6,27,30,35,11,11,14,13
11,63,6,27,30,35,11,63,5,25,28,32,11,0,13,14
0,63,5,25,28,32,11,42,6,22,25,32,5,0,14,12
0,42,6,22,25,32,5,18,6,19,14,33,1,13,12,10
13,18,6,19,14,33,1,11,5,12,9,28,1,0,10,14
0,11,5,12,9,28,1,16,4,8,9,23,1,0,14,13
0,16,4,8,9,23,1,22,4,8,8,23,0,8,13,11
8,22,4,8,8,23,0,18,5,10,8,25,2,3,11,10
3,18,5,10,8,25,2,29,6,13,7,29,0,1,10,8
1,29,6,13,7,29,0,24,8,22,9,38,0,0,8,8
0,24,8,22,9,38,0,27,8,24,12,39,2,26,8,8
26,27,8,24,12,39,2,46,8,26,22,38,4,0,8,8
0,46,8,26,22,38,4,64,6,26,29,34,7,5,8,8
5,64,6,26,29,34,7,63,5,26,30,34,5,3,8,8
3,63,5,26,30,34,5,42,6,25,27,35,2,1,8,8
1,42,6,25,27,35,2,18,6,21,15,35,0,5,8,8
5,18,6,21,15,35,0,11,6,13,9,29,0,0,8,8
0,11,6,13,9,29,0,16,4,8,8,24,1,0,8,8
0,16,4,8,8,24,1,22,4,10,9,24,0,0,8,8
0,22,4,10,9,24,0,18,5,10,8,25,1,2,8,8
2,18,5,10,8,25,1,28,6,15,8,31,0,0,8,8
0,28,6,15,8,31,0,24,8,22,8,37,1,9,8,8
9,24,8,22,8,37,1,27,8,27,14,41,1,3,8,8
3,27,8,27,14,41,1,46,8,28,23,40,4,1,8,8
1,46,8,28,23,40,4,63,6,26,29,34,13,21,8,8
21,63,6,26,29,34,13,63,5,25,28,32,8,0,8,8
0,63,5,25,28,32,8,42,6,24,25,34,6,17,8,8
17,42,6,24,25,34,6,18,6,18,14,33,1,0,8,8
0,18,6,18,14,33,1,11,6,14,9,29,1,0,8,8
0,11,6,14,9,29,1,16,4,7,8,23,0,1,8,8
1,16,4,7,8,23,0,22,4,7,8,22,1,0,8,8
0,22,4,7,8,22,1,18,5,8,7,23,1,1,8,8
1,18,5,8,7,23,1,28,6,15,8,31,2,23,8,8
23,28,6,15,8,31,2,24,8,21,9,36,1,15,8,8
15,24,8,21,9,36,1,26,8,28,15,42,1,3,8,8
3,26,8,28,15,42,1,45,8,29,24,41,3,10,8,8
10,45,8,29,24,41,3,64,6,28,33,37,8,48,8,8
48,64,6,28,33,37,8,63,5,26,31,34,7,3,8,8
3,63,5,26,31,34,7,42,6,26,27,36,3,5,8,8
5,42,6,26,27,36,3,18,6,21,15,35,2,17,8,8
17,18,6,21,15,35,2,10,6,13,9,29,0,0,8,8
0,10,6,13,9,29,0,16,4,9,9,24,0,0,8,8
0,16,4,9,9,24,0,22,4,8,9,23,0,28,8,8
28,22,4,8,9,23,0,18,5,9,8,24,1,26,8,8
26,18,5,9,8,24,1,29,6,18,9,33,0,59,8,8
59,29,6,18,9,33,0,24,8,22,9,38,1,79,8,8
79,24,8,22,9,38,1,27,8,26,13,41,1,36,8,8
36,27,8,26,13,41,1,46,8,27,22,39,4,57,8,8
57,46,8,27,22,39,4,63,6,26,29,35,11,83,8,10
83,63,6,26,29,35,11,63,5,24,28,32,13,20,10,12
20,63,5,24,28,32,13,43,6,23,25,33,4,16,12,13
16,43,6,23,25,33,4,18,6,18,13,32,1,103,13,13
103,18,6,18,13,32,1,11,5,11,8,26,0,28,13,20
28,11,5,11,8,26,0,16,4,7,8,22,0,53,20,22
53,16,4,7,8,22,0,22,4,8,8,23,1,33,22,26
33,22,4,8,8,23,1,17,5,10,8,25,1,237,26,30
237,17,5,10,8,25,1,28,6,15,8,30,1,105,30,48
105,28,6,15,8,30,1,23,8,18,7,34,1,336,48,54
336,23,8,18,7,34,1,26,8,22,11,37,2,143,54,65
143,26,8,22,11,37,2,45,8,27,23,39,5,244,65,72
244,45,8,27,23,39,5,63,6,25,28,33,13,422,72,78
422,63,6,25,28,33,13,63,5,24,28,31,13,54,78,85
54,63,5,24,28,31,13,42,6,22,24,32,7,253,85,83
253,42,6,22,24,32,7,18,6,17,13,32,2,295,83,90
295,18,6,17,13,32,2,11,5,10,8,26,0,112,90,93
112,11,5,10,8,26,0,16,4,8,9,23,1,221,93,95
221,16,4,8,9,23,1,22,4,6,8,21,1,63,95,98
63,22,4,6,8,21,1,18,5,10,8,25,0,265,98,92
265,18,5,10,8,25,0,29,6,15,8,31,1,56,92,93
56,29,6,15,8,31,1,24,7,19,8,35,0,154,93,87
154,24,7,19,8,35,0,26,8,28,14,42,1,125,87,80
125,26,8,28,14,42,1,46,8,28,23,40,3,379,,
379,46,8,28,23,40,3,64,6,29,33,37,5,385,,
385,64,6,29,33,37,5,63,5,27,32,34,8,147,,
147,63,5,27,32,34,8,41,6,25,26,34,2,359,,
359,41,6,25,26,34,2,18,6,20,14,34,0,71,,
71,18,6,20,14,34,0,11,6,13,9,29,0,134,,
134,11,6,13,9,29,0,16,4,7,8,22,0,183,,
183,16,4,7,8,22,0,22,4,8,8,22,2,223,,
223,22,4,8,8,22,2,18,5,9,8,24,0,139,,
139,18,5,9,8,24,0,29,6,16,8,31,1,32,,
32,29,6,16,8,31,1,24,8,20,8,36,1,150,,
150,24,8,20,8,36,1,27,8,25,13,40,1,37,,
37,27,8,25,13,40,1,46,8,30,26,42,2,123,,
123,46,8,30,26,42,2,64,6,25,29,34,11,231,,
231,64,6,25,29,34,11,63,5,24,28,32,12,34,,
34,63,5,24,28,32,12,42,6,23,25,33,3,49,,
49,42,6,23,25,33,3,17,6,19,14,33,0,44,,
44,17,6,19,14,33,0,10,5,12,9,28,1,209,,
209,10,5,12,9,28,1,16,4,7,8,23,1,176,,
176,16,4,7,8,23,1,22,4,7,8,22,1,1,,
1,22,4,7,8,22,1,18,5,9,8,24,1,6,,
6,18,5,9,8,24,1,28,6,15,8,31,1,0,,
0,28,6,15,8,31,1,24,8,21,8,36,0,7,,
7,24,8,21,8,36,0,27,8,23,11,37,1,16,,
16,27,8,23,11,37,1,46,8,26,22,38,5,7,,
7,46,8,26,22,38,5,64,6,25,28,33,11,30,,
30,64,6,25,28,33,11,62,5,25,30,33,6,0,,
0,62,5,25,30,33,6,43,6,25,28,35,3,1,,
1,43,6,25,28,35,3,17,6,21,15,35,0,0,,
0,17,6,21,15,35,0,11,6,14,9,30,0,0,,
0,11,6,14,9,30,0,16,5,9,9,24,0,0,,
0,16,5,9,9,24,0,22,4,8,9,23,1,62,,
62,22,4,8,9,23,1,18,5,11,8,26,0,15,,
15,18,5,11,8,26,0,29,6,18,9,34,0,0,,
0,29,6,18,9,34,0,24,8,24,10,39,0,9,,
9,24,8,24,10,39,0,27,8,28,16,43,0,0,,
0,27,8,28,16,43,0,46,8,29,25,41,3,0,,
0,46,8,29,25,41,3,63,6,29,32,37,8,0,,
0,63,6,29,32,37,8,63,5,25,28,32,7,0,,
0,63,5,25,28,32,7,43,6,23,25,33,6,8,,
8,43,6,23,25,33,6,17,6,18,14,33,0,0,,
0,17,6,18,14,33,0,10,5,13,9,29,0,0,,
0,10,5,13,9,29,0,16,5,10,9,25,0,0,,
0,16,5,10,9,25,0,22,4,7,8,22,1,5,,
5,22,4,7,8,22,1,18,5,11,9,26,0,1,,
1,18,5,11,9,26,0,29,6,16,8,32,0,4,,
4,29,6,16,8,32,0,24,8,22,9,37,1,0,,
0,24,8,22,9,37,1,27,8,26,13,41,0,0,,
0,27,8,26,13,41,0,46,8,27,23,39,3,0,,
0,46,8,27,23,39,3,64,6,26,29,35,9,10,,
10,64,6,26,29,35,9,63,5,24,28,32,9,0,,
0,63,5,24,28,32,9,42,6,23,25,33,6,5,,
5,42,6,23,25,33,6,18,6,18,14,33,0,0,,
0,18,6,18,14,33,0,11,5,12,9,28,0,0,,
0,11,5,12,9,28,0,16,4,8,8,23,2,25,,
25,16,4,8,8,23,2,22,4,7,8,22,1,1,,
1,22,4,7,8,22,1,18,5,9,8,24,1,13,,
13,18,5,9,8,24,1,29,6,16,8,32,0,0,,
0,29,6,16,8,32,0,24,8,22,9,37,0,0,,
0,24,8,22,9,37,0,27,8,25,13,40,1,4,,
4,27,8,25,13,40,1,47,8,30,27,42,1,1,,
1,47,8,30,27,42,1,64,6,27,30,35,10,238,,
238,64,6,27,30,35,10,63,5,24,28,32,11,272,,
272,63,5,24,28,32,11,43,6,24,25,34,4,138,,
138,43,6,24,25,34,4,18,6,18,14,33,1,2,,
2,18,6,18,14,33,1,10,5,12,9,28,0,0,,
0,10,5,12,9,28,0,15,4,8,9,23,1,4,,
4,15,4,8,9,23,1,21,4,6,8,21,1,10,,
10,21,4,6,8,21,1,17,5,9,8,24,1,9,,
9,17,5,9,8,24,1,29,6,16,9,32,0,0,,
0,29,6,16,9,32,0,24,8,22,9,37,0,0,,
0,24,8,22,9,37,0,27,8,24,12,38,1,5,,
5,27,8,24,12,38,1,46,8,30,25,42,2,14,,
14,46,8,30,25,42,2,64,6,26,29,35,9,185,,
185,64,6,26,29,35,9,63,5,24,28,32,10,220,,
220,63,5,24,28,32,10,43,6,22,24,32,6,228,,
228,43,6,22,24,32,6,17,6,18,13,32,1,7,,
7,17,6,18,13,32,1,11,5,12,9,28,1,1,,
1,11,5,12,9,28,1,16,4,8,9,23,2,26,,
26,16,4,8,9,23,2,22,4,5,7,20,0,0,,
0,22,4,5,7,20,0,17,5,7,7,22,0,0,,
0,17,5,7,7,22,0,28,6,15,8,31,0,0,,
0,28,6,15,8,31,0,24,8,23,9,38,0,0,,
0,24,8,23,9,38,0,26,8,25,13,40,1,19,,
19,26,8,25,13,40,1,46,8,24,19,36,5,130,,
130,46,8,24,19,36,5,64,6,24,27,32,14,483,,
483,64,6,24,27,32,14,62,5,26,30,33,7,85,,
85,62,5,26,30,33,7,41,6,25,26,35,1,15,,
15,41,6,25,26,35,1,18,6,20,15,34,0,0,,
0,18,6,20,15,34,0,10,5,12,9,28,1,50,,
50,10,5,12,9,28,1,15,4,8,8,23,0,0,,
0,15,4,8,8,23,0,22,4,8,8,22,1,21,,
21,22,4,8,8,22,1,18,5,11,9,26,1,3,,
3,18,5,11,9,26,1,28,6,14,7,30,2,21,,
21,28,6,14,7,30,2,25,7,18,7,34,1,8,,
8,25,7,18,7,34,1,27,8,24,12,39,2,27,,
27,27,8,24,12,39,2,46,8,30,26,42,1,18,,
18,46,8,30,26,42,1,64,6,27,30,35,10,238,,
238,64,6,27,30,35,10,63,5,25,28,32,12,322,,
322,63,5,25,28,32,12,43,6,22,25,32,5,156,,
156,43,6,22,25,32,5,18,6,18,13,32,0,0,,
0,18,6,18,13,32,0,11,5,10,8,26,0,0,,
0,11,5,10,8,26,0,16,4,7,8,22,0,0,,
0,16,4,7,8,22,0,22,4,5,7,20,0,0,,
0,22,4,5,7,20,0,18,5,8,7,23,1,17,,
17,18,5,8,7,23,1,28,6,14,7,30,1,3,,
3,28,6,14,7,30,1,24,8,20,8,36,1,1,,
1,24,8,20,8,36,1,27,8,25,13,40,1,8,,
8,27,8,25,13,40,1,46,8,28,24,40,2,17,,
17,46,8,28,24,40,2,64,6,26,29,34,11,236,,
236,64,6,26,29,34,11,63,5,24,28,32,12,379,,
379,63,5,24,28,32,12,42,6,23,25,33,3,71,,
71,42,6,23,25,33,3,18,6,19,14,34,1,7,,
7,18,6,19,14,34,1,11,5,12,9,28,1,27,,
27,11,5,12,9,28,1,16,4,9,9,24,1,10,,
10,16,4,9,9,24,1,22,4,7,8,22,1,4,,
4,22,4,7,8,22,1,18,5,10,8,25,1,19,,
19,18,5,10,8,25,1,29,6,16,8,31,0,1,,
1,29,6,16,8,31,0,24,8,21,9,36,0,1,,
1,24,8,21,9,36,0,27,8,27,14,42,1,3,,
3,27,8,27,14,42,1,46,8,28,23,40,2,20,,
20,46,8,28,23,40,2,64,6,26,29,35,10,208,,
208,64,6,26,29,35,10,63,5,27,31,34,7,140,,
140,63,5,27,31,34,7,42,6,24,26,34,3,63,,
63,42,6,24,26,34,3,18,6,20,14,34,2,38,,
38,18,6,20,14,34,2,11,6,14,9,29,1,20,,
20,11,6,14,9,29,1,16,4,8,9,23,2,23,,
23,16,4,8,9,23,2,22,4,7,8,22,0,0,,
0,22,4,7,8,22,0,18,5,8,8,23,0,1,,
1,18,5,8,8,23,0,28,6,17,9,33,0,0,,
0,28,6,17,9,33,0,23,8,22,9,38,1,5,,
5,23,8,22,9,38,1,27,8,27,14,41,0,0,,
0,27,8,27,14,41,0,46,8,28,23,40,3,44,,
44,46,8,28,23,40,3,65,6,26,29,34,9,169,,
169,65,6,26,29,34,9,63,5,24,28,32,9,145,,
145,63,5,24,28,32,9,43,6,25,26,35,1,9,,
9,43,6,25,26,35,1,18,6,19,14,34,1,2,,
2,18,6,19,14,34,1,11,6,13,9,29,0,0,,
0,11,6,13,9,29,0,17,4,7,8,23,2,10,,
10,17,4,7,8,23,2,22,4,7,8,22,1,10,,
10,22,4,7,8,22,1,18,5,10,8,25,1,5,,
5,18,5,10,8,25,1,28,6,16,8,32,0,0,,
0,28,6,16,8,32,0,24,8,21,8,36,1,1,,
1,24,8,21,8,36,1,26,8,26,13,40,1,10,,
10,26,8,26,13,40,1,47,8,27,23,39,5,99,,
99,47,8,27,23,39,5,64,6,24,27,33,13,399,,
399,64,6,24,27,33,13,63,5,25,29,32,8,168,,
168,63,5,25,29,32,8,43,6,24,26,34,3,37,,
37,43,6,24,26,34,3,19,6,20,14,34,1,15,,
15,19,6,20,14,34,1,10,5,12,9,28,0,0,,
0,10,5,12,9,28,0,16,4,8,9,23,0,0,,
0,16,4,8,9,23,0,18,4,9,9,24,0,0,,
0,18,4,9,9,24,0,19,5,8,8,23,1,4,,
4,19,5,8,8,23,1,22,6,14,8,30,0,0,,
0,22,6,14,8,30,0,14,8,22,9,38,0,0,,
0,14,8,22,9,38,0,20,8,26,13,41,1,3,,
3,20,8,26,13,41,1,32,8,29,25,41,2,18,,
18,32,8,29,25,41,2,59,6,27,30,35,9,150,,
150,59,6,27,30,35,9,61,5,25,29,33,12,302,,
302,61,5,25,29,33,12,40,6,23,25,33,6,161,,
161,40,6,23,25,33,6,21,6,18,13,33,3,39,,
39,21,6,18,13,33,3,0,6,12,9,28,0,0,,
0,0,6,12,9,28,0,9,5,9,9,24,0,0,,
0,9,5,9,9,24,0,17,5,10,10,25,0,0,,
0,17,5,10,10,25,0,10,5,9,8,24,0,1,,
1,10,5,9,8,24,0,24,6,16,8,32,1,7,,
7,24,6,16,8,32,1,15,8,21,9,36,1,3,,
3,15,8,21,9,36,1,21,8,25,13,40,1,2,,
2,21,8,25,13,40,1,39,8,30,25,41,2,23,,
23,39,8,30,25,41,2,60,6,27,30,35,8,130,,
130,60,6,27,30,35,8,61,5,24,28,32,13,358,,
358,61,5,24,28,32,13,33,6,24,26,34,5,130,,
130,33,6,24,26,34,5,7,7,19,14,34,0,0,,
0,7,7,19,14,34,0,0,6,12,9,27,0,0,,
0,0,6,12,9,27,0,12,5,8,9,23,0,0,,
0,12,5,8,9,23,0,19,4,5,7,20,0,0,,
